Time,Altitude,Vertical acceleration,Lateral acceleration
35.072,1.01E+04,-1.032,0.007
35.122,1.01E+04,-1.033,0.005
35.172,1.01E+04,-1.034,0.004
35.222,1.01E+04,-1.033,0.005
35.272,1.01E+04,-1.032,0.005
35.322,1.01E+04,-1.032,0.005
35.372,1.01E+04,-1.031,0.006
35.422,1.01E+04,-1.029,0.007
35.472,1.01E+04,-1.027,0.008
35.522,1.01E+04,-1.026,0.009
35.572,1.01E+04,-1.025,0.01
35.622,1.01E+04,-1.023,0.011
35.672,1.01E+04,-1.02,0.013
35.722,1.01E+04,-1.016,0.016
35.772,1.01E+04,-1.014,0.018
35.822,1.01E+04,-1.011,0.02
35.872,1.01E+04,-1.01,0.021
35.922,1.01E+04,-1.007,0.023
35.972,1.01E+04,-1.005,0.024
36.022,1.02E+04,-1.003,0.026
36.072,1.02E+04,-1.001,0.028
36.122,1.02E+04,-0.998,0.03
36.172,1.02E+04,-0.998,0.03
36.222,1.02E+04,-0.996,0.031
36.272,1.02E+04,-0.994,0.033
36.322,1.02E+04,-0.992,0.034
36.372,1.02E+04,-0.991,0.035
36.422,1.02E+04,-0.99,0.035
36.472,1.02E+04,-0.99,0.035
36.522,1.02E+04,-0.99,0.034
36.572,1.02E+04,-0.989,0.035
